"pseudo";"email";"password"
"mbruliard";"mbruliard@dodo.com";"$2y$10$vTkLce23BDKt0c1VHB3Uk.puoDFJZeafu3QgoNmjfJwkM2/oS2Ax2"
"nbenhaffaf";"nbenhaffaf@dodo.com";"$2y$10$vTkLce23BDKt0c1VHB3Uk.puoDFJZeafu3QgoNmjfJwkM2/oS2Ax2"
"ProgWebForever";"progwebforever@dodo.com";"$2y$10$S.hJ5XDIJJWvDyE4eQdvZOxmT/cLzENTkLweIbpSSfj6whuMJM7xu"
"toto";"toto@dodo.com";"$2y$10$x2haEkjRqsVqzUGeLfooquhn6zNnTT0WzBv4JlShH4UoURQifGfKW"
"coeurDartichaud";"coeurdartichaud@dodo.com";"$2y$10$vTkLce23BDKt0c1VHB3Uk.puoDFJZeafu3QgoNmjfJwkM2/oS2Ax2"
"LuckyTheLuc";"luckytheluc@dodo.com";"$2y$10$vTkLce23BDKt0c1VHB3Uk.puoDFJZeafu3QgoNmjfJwkM2/oS2Ax2"
"LaVraieCelineDeVegas";"lavraiecelinedevegas@dodo.com";"$2y$10$vTkLce23BDKt0c1VHB3Uk.puoDFJZeafu3QgoNmjfJwkM2/oS2Ax2"
"AliceAuPaysDesBretons";"aliceaupaysdesbretons@dodo.com";"$2y$10$vTkLce23BDKt0c1VHB3Uk.puoDFJZeafu3QgoNmjfJwkM2/oS2Ax2"
"JeSuisPersonne";"jesuispersonne@dodo.com";"$2y$10$vTkLce23BDKt0c1VHB3Uk.puoDFJZeafu3QgoNmjfJwkM2/oS2Ax2"
"MbappéForever";"mbappéforever@dodo.com";"$2y$10$vTkLce23BDKt0c1VHB3Uk.puoDFJZeafu3QgoNmjfJwkM2/oS2Ax2"
"PotterHead1";"potterhead1@dodo.com";"$2y$10$vTkLce23BDKt0c1VHB3Uk.puoDFJZeafu3QgoNmjfJwkM2/oS2Ax2"
"jujuCo1n";"jujuco1n@dodo.com";"$2y$10$vTkLce23BDKt0c1VHB3Uk.puoDFJZeafu3QgoNmjfJwkM2/oS2Ax2"
"NotAwrinkle";"notawrinkle@dodo.com";"$2y$10$vTkLce23BDKt0c1VHB3Uk.puoDFJZeafu3QgoNmjfJwkM2/oS2Ax2"
"LeRoiPopCorn12";"leroipopcorn12@dodo.com";"$2y$10$vTkLce23BDKt0c1VHB3Uk.puoDFJZeafu3QgoNmjfJwkM2/oS2Ax2"
"GrosBolDeRiz<3";"grosbolderiz@dodo.com";"$2y$10$vTkLce23BDKt0c1VHB3Uk.puoDFJZeafu3QgoNmjfJwkM2/oS2Ax2"
